tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58838718,19667,58822.209524972,-0.10808256,-0.14290817,0.00421905,-0.98380774
58838734,19668,58838.793853592,-0.10811196,-0.14284250,0.00421811,-0.98381406
58838750,19669,58838.821631492,-0.10811238,-0.14285584,0.00425234,-0.98381191
58838765,19670,58838.835520592,-0.10816820,-0.14289542,0.00423854,-0.98380011
58838781,19671,58838.849409592,-0.10813226,-0.14285482,0.00427329,-0.98380983
58838796,19672,58838.863298492,-0.10813487,-0.14286487,0.00424429,-0.98380816
58838812,19673,58838.875854863,-0.10813538,-0.14286554,0.00424471,-0.98380798
58838828,19674,58838.889743863,-0.10807782,-0.14289665,0.00422383,-0.98380989
58838843,19675,58838.903632863,-0.10807584,-0.14282794,0.00425674,-0.98382002
58838843,19676,58838.917522063,-0.10811625,-0.14284413,0.00418412,-0.98381346
58838859,19677,58838.931411263,-0.10813529,-0.14288054,0.00423043,-0.98380589
58838875,19678,58838.945300263,-0.10813572,-0.14285833,0.00422402,-0.98380911
58838906,19679,58838.959189363,-0.10811006,-0.14286804,0.00421172,-0.98381066
58838921,19680,58838.986967463,-0.10810730,-0.14286976,0.00420683,-0.98381072
58838937,19681,58839.000856563,-0.10811294,-0.14290957,0.00416476,-0.98380446
58838953,19682,58839.014745463,-0.10813395,-0.14283217,0.00423265,-0.98381305
58838968,19683,58839.028634363,-0.10807785,-0.14286476,0.00422809,-0.98381454
58838968,19684,58839.042523463,-0.10807761,-0.14290527,0.00421229,-0.98380876
58838984,19685,58839.056412463,-0.10812417,-0.14289357,0.00427495,-0.98380506
58839000,19686,58839.070301363,-0.10813553,-0.14284579,0.00423262,-0.98381090
58839015,19687,58839.084190363,-0.10810519,-0.14287695,0.00420855,-0.98380989
58839031,19688,58839.098079463,-0.10810085,-0.14284995,0.00422853,-0.98381412
58839046,19689,58839.111968663,-0.10813953,-0.14285243,0.00419594,-0.98380971
58839062,19690,58839.125857663,-0.10811542,-0.14288108,0.00417131,-0.98380822
58839078,19691,58839.139746663,-0.10811677,-0.14285509,0.00416767,-0.98381186
58839093,19692,58839.153635863,-0.10808193,-0.14290302,0.00420003,-0.98380870
58839125,19693,58839.167524863,-0.10808337,-0.14288297,0.00420195,-0.98381144
58839140,19694,58839.204516463,-0.10813345,-0.14285366,0.00423234,-0.98380995
58839156,19695,58839.218405363,-0.10810664,-0.14288273,0.00423103,-0.98380876
58839156,19696,58839.232294363,-0.10811464,-0.14289638,0.00418676,-0.98380607
58839171,19697,58839.246183563,-0.10807839,-0.14296520,0.00425224,-0.98379976
58839187,19698,58839.260072763,-0.10810689,-0.14290904,0.00424311,-0.98380488
58839203,19699,58839.273961863,-0.10813737,-0.14288543,0.00424159,-0.98380494
58839218,19700,58839.287850763,-0.10807984,-0.14287958,0.00423058,-0.98381215
58839234,19701,58839.301739863,-0.10814185,-0.14286534,0.00420494,-0.98380750
58839250,19702,58839.315628963,-0.10813700,-0.14294292,0.00422343,-0.98379672
58839265,19703,58839.329518063,-0.10813226,-0.14285153,0.00424008,-0.98381042
58839281,19704,58839.343406963,-0.10807335,-0.14286970,0.00426056,-0.98381424
58839296,19705,58839.357295963,-0.10807895,-0.14287962,0.00423702,-0.98381227
58839312,19706,58839.371184963,-0.10807825,-0.14288235,0.00421602,-0.98381197
58839312,19707,58839.385074163,-0.10809601,-0.14290218,0.00425088,-0.98380703
58839328,19708,58839.398963163,-0.10807538,-0.14288245,0.00421949,-0.98381233
58839343,19709,58839.412852063,-0.10806818,-0.14290687,0.00424930,-0.98380941
58839359,19710,58839.426741663,-0.10812092,-0.14288105,0.00425529,-0.98380738
58839375,19711,58839.440630663,-0.10810416,-0.14289567,0.00419562,-0.98380727
58839390,19712,58839.454519663,-0.10807312,-0.14288941,0.00421832,-0.98381156
58839406,19713,58839.468408863,-0.10809348,-0.14285225,0.00426591,-0.98381448
58839421,19714,58839.482297963,-0.10810740,-0.14287549,0.00415878,-0.98381007
58839437,19715,58839.496187063,-0.10807279,-0.14288415,0.00421196,-0.98381233
58839437,19716,58839.510076263,-0.10809771,-0.14288810,0.00421489,-0.98380899
58839453,19717,58839.523965363,-0.10809934,-0.14287752,0.00423530,-0.98381037
58839468,19718,58839.537854463,-0.10806369,-0.14284885,0.00424414,-0.98381829
58839484,19719,58839.551743463,-0.10806607,-0.14288016,0.00422665,-0.98381358
58839500,19720,58839.565632363,-0.10809477,-0.14288726,0.00421211,-0.98380947
58839515,19721,58839.579521263,-0.10809171,-0.14289522,0.00426997,-0.98380840
58839531,19722,58839.593410263,-0.10809880,-0.14287797,0.00421175,-0.98381037
