tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58502468,1,58743.256877064,0.00000000,0.00000000,0.00000000,1.00000000
58502875,2,58502.479052090,-0.10798141,-0.14321728,0.00438810,-0.98377311
58503078,10,58503.138705349,-0.10797631,-0.14320357,0.00437627,-0.98377573
58503281,25,58503.343306402,-0.10796587,-0.14324257,0.00441184,-0.98377109
58503500,37,58503.537685912,-0.10794140,-0.14322853,0.00441509,-0.98377579
58503703,41,58503.757611707,-0.10795154,-0.14323199,0.00438847,-0.98377430
58503906,55,58503.955866350,-0.10799422,-0.14318696,0.00437773,-0.98377621
58504109,67,58504.156362257,-0.10793920,-0.14327835,0.00440857,-0.98376888
58504312,81,58504.362044927,-0.10799166,-0.14323629,0.00437762,-0.98376930
58504515,96,58504.569442403,-0.10795937,-0.14319216,0.00437916,-0.98377925
58504718,111,58504.777778103,-0.10798985,-0.14323938,0.00442909,-0.98376888
58504921,126,58504.990747473,-0.10800531,-0.14322565,0.00440247,-0.98376930
58505140,138,58505.185299473,-0.10796048,-0.14318758,0.00441717,-0.98377961
58505343,140,58505.226966673,-0.10797314,-0.14319253,0.00439901,-0.98377764
58505953,141,58505.254744773,-0.10795831,-0.14317702,0.00443525,-0.98378140
58506359,143,58506.360139754,-0.10795989,-0.14319491,0.00435973,-0.98377895
58506578,147,58506.558730154,-0.10794070,-0.14322253,0.00435310,-0.98377705
58506781,151,58506.796859700,-0.10798806,-0.14321676,0.00434006,-0.98377270
58506984,157,58507.050215700,-0.10794366,-0.14322889,0.00441682,-0.98377550
58507187,165,58507.191500100,-0.10798910,-0.14322063,0.00444627,-0.98377156
58507390,180,58507.472208200,-0.10806235,-0.14320534,0.00440786,-0.98376596
58507593,194,58507.666654300,-0.10811844,-0.14326015,0.00448525,-0.98375142
58507796,208,58507.874989600,-0.10804653,-0.14322691,0.00441471,-0.98376453
58508000,220,58508.041659400,-0.10796776,-0.14320493,0.00436431,-0.98377651
58508625,224,58508.695568900,-0.10794818,-0.14321780,0.00443857,-0.98377651
58508828,239,58508.903904200,-0.10792564,-0.14322491,0.00436718,-0.98377824
58509031,254,58509.112240100,-0.10801306,-0.14320411,0.00437655,-0.98377162
58509234,269,58509.320575900,-0.10802609,-0.14319108,0.00429288,-0.98377252
58509437,283,58509.515022200,-0.10798388,-0.14324288,0.00441263,-0.98376906
58509640,298,58509.723358400,-0.10808464,-0.14317614,0.00438858,-0.98376787
58509843,312,58509.931694500,-0.10803059,-0.14323974,0.00435225,-0.98376465
58510046,326,58510.126141100,-0.10799738,-0.14316189,0.00439330,-0.98377943
58510250,341,58510.334477100,-0.10801787,-0.14322518,0.00443721,-0.98376781
58510453,356,58510.542812200,-0.10802235,-0.14320312,0.00440349,-0.98377073
58510656,370,58510.737259100,-0.10803207,-0.14318873,0.00438157,-0.98377186
58510859,385,58510.932739831,-0.10799193,-0.14325033,0.00434482,-0.98376739
58511078,399,58511.141075231,-0.10803520,-0.14322534,0.00435087,-0.98376626
58511281,412,58511.349410931,-0.10800536,-0.14320616,0.00432601,-0.98377240
58511484,425,58511.543857531,-0.10807161,-0.14321417,0.00437291,-0.98376375
58511687,439,58511.752193331,-0.10804568,-0.14317988,0.00439248,-0.98377156
58511890,454,58511.954695674,-0.10807743,-0.14322914,0.00438690,-0.98376089
58512093,465,58512.156546764,-0.10804308,-0.14322494,0.00439005,-0.98376524
58512296,479,58512.385751000,-0.10802503,-0.14316685,0.00442478,-0.98377556
58512500,492,58512.592510100,-0.10814060,-0.14328013,0.00432238,-0.98374677
58512703,506,58512.784036560,-0.10813414,-0.14327973,0.00441908,-0.98374712
58512906,519,58512.984862490,-0.10805582,-0.14321618,0.00435959,-0.98376524
58513125,534,58513.189433739,-0.10812314,-0.14330277,0.00435209,-0.98374528
58513328,549,58513.392656352,-0.10813358,-0.14329450,0.00434862,-0.98374540
58513531,562,58513.589611952,-0.10807224,-0.14325416,0.00435267,-0.98375797
58513734,577,58513.797948052,-0.10801726,-0.14324848,0.00437190,-0.98376483
58513937,592,58514.019097778,-0.10803451,-0.14325576,0.00438553,-0.98376179
58514140,606,58514.213544178,-0.10802577,-0.14323214,0.00435925,-0.98376626
58514343,621,58514.421879278,-0.10805868,-0.14317781,0.00434364,-0.98377061
58514546,636,58514.630215278,-0.10802014,-0.14317177,0.00436695,-0.98377562
58514750,651,58514.838550878,-0.10805535,-0.14319484,0.00433384,-0.98376852
58514968,665,58515.015003364,-0.10802761,-0.14324842,0.00434244,-0.98376375
58515171,680,58515.223338764,-0.10798384,-0.14324370,0.00442461,-0.98376882
58515375,695,58515.431674264,-0.10802583,-0.14322010,0.00431903,-0.98376817
58515578,710,58515.640009864,-0.10796650,-0.14315985,0.00438209,-0.98378319
58515781,724,58515.834456864,-0.10800453,-0.14322177,0.00438424,-0.98376995
58515984,739,58516.043678197,-0.10801880,-0.14315905,0.00437099,-0.98377764
58516187,753,58516.253126697,-0.10806496,-0.14316571,0.00432629,-0.98377180
58516390,765,58516.452173097,-0.10802827,-0.14315176,0.00438040,-0.98377764
58516593,780,58516.660508497,-0.10805763,-0.14318410,0.00436383,-0.98376971
58516812,793,58516.859575697,-0.10812829,-0.14323339,0.00433963,-0.98375493
58517015,807,58517.054519734,-0.10806200,-0.14314786,0.00436691,-0.98377454
58517218,822,58517.282561734,-0.10809342,-0.14321463,0.00437738,-0.98376131
58517421,836,58517.477008334,-0.10809341,-0.14315194,0.00439481,-0.98377031
58517625,850,58517.671455234,-0.10806206,-0.14317939,0.00435701,-0.98376995
58517828,864,58517.896094337,-0.10802815,-0.14318225,0.00435860,-0.98377323
58518031,878,58518.090540237,-0.10808709,-0.14317961,0.00433804,-0.98376727
58518234,893,58518.298875937,-0.10805997,-0.14315313,0.00446314,-0.98377359
58518437,908,58518.507363037,-0.10808294,-0.14316891,0.00436627,-0.98376912
58518640,922,58518.701809737,-0.10808957,-0.14312364,0.00437427,-0.98377496
58518843,937,58518.907158560,-0.10807527,-0.14318766,0.00437611,-0.98376721
58519062,951,58519.115815273,-0.10808287,-0.14316465,0.00439207,-0.98376966
58519265,965,58519.324431974,-0.10810100,-0.14316823,0.00434234,-0.98376739
58519468,979,58519.519070063,-0.10804020,-0.14322600,0.00435041,-0.98376560
58519671,994,58519.727600904,-0.10809506,-0.14323357,0.00433943,-0.98375851
58519875,1009,58519.937134144,-0.10808005,-0.14316683,0.00442731,-0.98376948
58520078,1023,58520.131580444,-0.10809600,-0.14314891,0.00434989,-0.98377067
58520281,1038,58520.339915944,-0.10808536,-0.14320265,0.00433880,-0.98376411
58520484,1052,58520.548251244,-0.10813010,-0.14315569,0.00437021,-0.98376584
58520687,1067,58520.756587244,-0.10810565,-0.14319868,0.00432236,-0.98376256
58520890,1081,58520.952125015,-0.10811362,-0.14321728,0.00435345,-0.98375887
58521109,1096,58521.160460215,-0.10807980,-0.14313598,0.00440557,-0.98377413
58521312,1111,58521.368796015,-0.10807356,-0.14315860,0.00442223,-0.98377138
58521515,1126,58521.577131615,-0.10805260,-0.14314952,0.00443142,-0.98377496
58521718,1139,58521.776803115,-0.10806870,-0.14320150,0.00437586,-0.98376596
58521921,1153,58521.985131150,-0.10808926,-0.14321208,0.00442737,-0.98376185
58522125,1165,58522.183764250,-0.10813463,-0.14323123,0.00439385,-0.98375434
58522328,1180,58522.392099350,-0.10809714,-0.14322369,0.00439476,-0.98375952
58522531,1193,58522.598005950,-0.10808526,-0.14322466,0.00435677,-0.98376083
58522734,1208,58522.806341450,-0.10806662,-0.14322692,0.00437516,-0.98376244
58522937,1220,58522.997260886,-0.10810991,-0.14321902,0.00434863,-0.98375899
58523156,1235,58523.205596086,-0.10809348,-0.14319338,0.00437708,-0.98376447
58523359,1250,58523.413931886,-0.10811875,-0.14325641,0.00432154,-0.98375267
58523562,1265,58523.622267086,-0.10811252,-0.14317107,0.00435451,-0.98376560
58523765,1279,58523.816713186,-0.10812737,-0.14323251,0.00434975,-0.98375505
58523968,1294,58524.017542095,-0.10813902,-0.14315093,0.00434294,-0.98376566
58524171,1309,58524.225877595,-0.10813976,-0.14317724,0.00436523,-0.98376167
58524375,1323,58524.420323895,-0.10811265,-0.14319406,0.00434882,-0.98376226
58524593,1337,58524.635461895,-0.10811912,-0.14320438,0.00437041,-0.98376006
58524796,1352,58524.843797695,-0.10817013,-0.14321320,0.00435937,-0.98375314
58525000,1367,58525.051690625,-0.10811031,-0.14322826,0.00440537,-0.98375738
58525203,1381,58525.247925352,-0.10814719,-0.14320493,0.00428163,-0.98375726
58525406,1396,58525.457660223,-0.10807766,-0.14319123,0.00432727,-0.98376667
58525609,1411,58525.666878823,-0.10805647,-0.14320423,0.00430158,-0.98376721
58525812,1426,58525.875874241,-0.10804804,-0.14316887,0.00426777,-0.98377347
58526015,1439,58526.056854802,-0.10806227,-0.14314714,0.00429275,-0.98377490
58526234,1454,58526.289152229,-0.10808145,-0.14321640,0.00439237,-0.98376226
58526437,1468,58526.498921757,-0.10805226,-0.14316879,0.00436073,-0.98377252
58526640,1483,58526.705237749,-0.10815423,-0.14317144,0.00431499,-0.98376119
58526843,1496,58526.902399959,-0.10809729,-0.14321546,0.00443386,-0.98376048
58527046,1510,58527.094733083,-0.10815752,-0.14323094,0.00441035,-0.98375171
